RunID,C2,R3,Rcl1,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,ChargeDiff,Cluster
1575,11n,6M,705K,4.787581572327531,0.07548235012812836,0.6331571641830216,0.1531198794844957,0.428355760259177,0.04347221365121234,29.394488170104562,0.08481461241715024,171.1765,2.2122620000000004,5.922507978032436e-06,True,"<a href=""waveforms/run_1575.html"" target=""_blank"">Plot</a>",5.922507978032436,2.2122620000000004,0.0774920219675641,0
1113,11n,4M,505K,4.319894444187326,0.05013277423537502,0.30460844190437075,0.15022109853222196,0.24631325587276676,0.03866543328666009,27.024171927951727,0.07918941385947476,189.86430000000001,3.078577,5.922094779212017e-06,True,"<a href=""waveforms/run_1113.html"" target=""_blank"">Plot</a>",5.922094779212017,3.078577,0.0779052207879829,0
1795,11n,6.5M,805K,4.813943916883133,0.0702709319815576,0.716565236720173,0.1678498747969465,0.32452392214725634,0.04631541396274671,30.45540906785269,0.09749449122234242,163.88850000000002,1.982816,6.078142576114511e-06,True,"<a href=""waveforms/run_1795.html"" target=""_blank"">Plot</a>",6.078142576114511,1.982816,0.07814257611451136,1
1301,21n,3M,605K,4.29983272731504,0.07756318477639573,0.4934949811556153,0.14145523655538597,0.37997139679241876,0.041843928568574516,26.30617742645186,0.10546095058172199,183.2881,2.730232,6.092283407903479e-06,True,"<a href=""waveforms/run_1301.html"" target=""_blank"">Plot</a>",6.092283407903479,2.730232,0.09228340790347911,1
231,100n,1.5M,105K,1.9894987653126814,0.139234985941405,0.28501721055279483,0.0555774206523155,0.9419574721952656,0.03482719048022446,10.059317443517013,0.10670183492066668,239.15429999999998,13.18698,6.0967192844510405e-06,True,"<a href=""waveforms/run_231.html"" target=""_blank"">Plot</a>",6.096719284451041,13.18698,0.09671928445104072,1
1532,21n,4M,705K,4.122560406699156,0.09873484340869344,0.6655115773801927,0.1342708773560587,0.4911129294429348,0.04496411156059794,27.442046979844676,0.08785522243439658,173.6962,2.327002,6.10470043136235e-06,True,"<a href=""waveforms/run_1532.html"" target=""_blank"">Plot</a>",6.1047004313623505,2.327002,0.10470043136235052,1
1264,91n,1M,605K,3.2052640523725584,0.1717059050322245,0.5236538910571824,0.09976556841531893,0.5657718054236803,0.04010825101143604,16.661964391483057,0.052463871708252015,189.5318,3.375804,5.889165609682034e-06,True,"<a href=""waveforms/run_1264.html"" target=""_blank"">Plot</a>",5.889165609682034,3.375804,0.11083439031796605,0
1510,21n,3M,705K,4.404245818817458,0.08161196595694206,0.6008784200624021,0.14363543223447478,0.3501301198636705,0.042077680180360275,25.878209162155805,0.12757998539400953,175.5497,2.41467,5.886120886343799e-06,True,"<a href=""waveforms/run_1510.html"" target=""_blank"">Plot</a>",5.886120886343799,2.41467,0.11387911365620074,0
2224,11n,7M,1M,4.4654362739036255,0.05034170666046359,0.7120204403085054,0.18644202224337283,0.18683365302699537,0.04779006920693098,32.44642179521916,0.11099028351722698,151.8872,1.645149,5.8842288416547305e-06,True,"<a href=""waveforms/run_2224.html"" target=""_blank"">Plot</a>",5.88422884165473,1.645149,0.11577115834526985,0
2213,11n,6.5M,1M,4.090137922503644,0.028177869186256317,0.13840085926264906,0.19135170426953854,0.08543598457702654,0.047297193160741186,31.959023539633055,0.09186803705031525,152.3285,1.588188,5.882064536736374e-06,True,"<a href=""waveforms/run_2213.html"" target=""_blank"">Plot</a>",5.882064536736374,1.588188,0.1179354632636258,0
